iter	Passed	Remaining
246	371	1133
247	372	1129
248	373	1125
249	373	1121
250	374	1117
251	375	1113
252	375	1109
253	376	1105
254	376	1100
255	377	1096
256	378	1093
257	378	1089
258	379	1086
259	380	1082
260	381	1078
261	381	1074
262	382	1071
263	383	1068
264	384	1065
265	385	1063
266	386	1059
267	386	1056
268	387	1052
269	387	1048
270	388	1045
271	389	1041
272	389	1037
273	390	1034
274	391	1031
275	391	1027
276	392	1024
277	393	1021
278	393	1017
279	394	1014
280	394	1010
281	395	1006
282	395	1003
283	396	999
284	397	996
285	398	994
286	399	991
287	399	988
288	400	986
289	401	982
290	402	979
291	402	976
292	403	973
293	403	970
294	404	966
295	405	963
296	405	960
297	406	957
298	407	954
299	407	951
300	408	947
301	408	944
302	409	941
303	409	937
304	410	934
305	410	931
306	411	928
307	411	925
308	412	921
309	413	919
310	413	916
311	414	914
312	415	911
313	415	908
314	416	905
315	417	903
316	417	900
317	418	897
318	419	894
319	419	891
320	420	888
321	420	885
322	421	882
323	421	879
324	422	876
325	422	873
326	423	871
327	423	868
328	424	865
329	424	862
330	425	859
331	425	857
332	426	854
333	427	851
334	427	848
335	428	846
336	429	844
337	429	841
338	430	839
339	430	836
340	431	833
341	431	831
342	432	828
343	432	825
344	433	822
345	433	820
346	434	817
347	434	814
348	435	812
349	435	809
350	436	807
351	437	804
352	437	802
353	438	799
354	438	796
355	439	794
356	439	791
357	440	789
358	440	787
359	441	785
360	442	783
361	443	780
362	443	778
363	444	776
364	445	774
365	445	771
366	446	769
367	446	767
368	447	765
369	448	763
370	448	760
371	449	758
372	449	756
373	450	753
374	450	751
375	451	749
376	451	746
377	452	744
378	452	741
379	453	739
380	453	737
381	454	734
382	454	732
383	455	730
384	455	728
385	456	726
386	457	724
387	458	722
388	458	720
389	459	718
390	459	716
391	460	714
392	461	712
393	461	709
394	462	707
395	462	705
396	462	703
397	463	701
398	464	698
399	464	696
400	465	694
401	465	692
402	466	690
403	466	688
404	467	686
405	467	684
406	468	682
407	468	680
408	469	677
409	469	675
410	470	673
411	470	671
412	471	669
413	472	668
414	472	666
415	473	664
416	474	662
417	475	661
418	475	659
419	476	657
420	476	655
421	477	654
422	478	652
423	478	650
424	479	648
425	479	646
426	480	644
427	481	643
428	481	641
429	482	639
430	483	638
431	483	636
432	484	634
433	485	632
434	486	631
435	486	629
436	487	628
437	488	626
438	489	625
439	489	623
440	490	621
441	491	619
442	491	618
443	492	616
444	492	614
445	493	613
446	494	611
447	494	609
448	495	608
449	496	606
450	496	604
451	497	603
452	498	601
453	498	599
454	499	597
455	499	596
456	500	594
457	501	593
458	502	591
459	502	590
460	503	588
461	504	587
462	505	585
463	505	584
464	506	582
465	506	580
466	507	579
467	508	577
468	508	575
469	509	574
470	509	572
471	510	570
472	510	569
473	511	567
474	511	565
475	512	564
476	512	562
477	513	560
478	513	559
479	514	557
480	515	555
481	515	554
482	516	552
483	517	551
484	517	550
485	518	548
486	519	547
487	519	545
488	520	544
489	521	542
490	521	540
491	522	539
492	522	537
493	523	535
494	523	534
495	524	532
496	524	530
497	525	529
498	525	527
499	526	526
500	526	524
501	527	522
502	527	521
503	528	519
504	528	518
505	529	516
506	529	515
507	530	513
508	530	512
509	531	510
510	532	509
511	532	507
512	533	506
513	534	505
514	534	503
515	535	502
516	535	500
517	536	499
518	536	497
519	537	496
520	537	494
521	538	493
522	539	491
523	539	490
524	540	488
525	540	487
526	541	485
527	541	484
528	542	482
529	542	481
530	543	479
531	543	478
532	544	476
533	544	475
534	545	474
535	546	472
536	547	471
537	547	470
538	548	468
539	548	467
540	549	466
541	550	464
542	550	463
543	551	461
544	551	460
545	552	459
546	552	457
547	553	456
548	553	454
549	554	453
550	554	451
551	555	450
552	555	449
553	556	447
554	556	446
555	557	444
556	557	443
557	558	442
558	558	440
559	559	439
560	559	438
561	560	436
562	560	435
563	561	433
564	561	432
565	562	431
566	563	430
567	563	428
568	564	427
569	565	426
570	565	425
571	566	423
572	566	422
573	567	421
574	567	419
575	568	418
576	568	417
577	569	415
578	569	414
579	570	413
580	570	411
581	571	410
582	572	409
583	572	407
584	573	406
585	573	405
586	574	403
587	574	402
588	575	401
589	575	400
590	576	398
591	577	397
592	577	396
593	578	395
594	579	394
595	579	392
596	580	391
597	580	390
598	581	389
599	581	387
600	582	386
601	583	385
602	583	384
603	584	383
604	584	381
605	585	380
606	585	379
607	586	377
608	586	376
609	587	375
610	587	374
611	588	372
612	588	371
613	589	370
614	589	369
615	590	367
616	590	366
617	591	365
618	591	364
619	592	363
620	593	361
621	593	360
622	594	359
623	595	358
624	595	357
625	596	356
626	597	355
627	597	354
628	598	352
629	598	351
630	599	350
631	599	349
632	600	348
633	600	346
634	601	345
635	601	344
636	602	343
637	603	342
638	603	341
639	604	339
640	604	338
641	605	337
642	605	336
643	606	335
644	607	334
645	607	333
646	608	331
647	609	330
648	609	329
649	610	328
650	611	327
651	611	326
652	612	325
653	612	324
654	613	323
655	613	321
656	614	320
657	614	319
658	615	318
659	615	317
660	616	316
661	617	315
662	617	313
663	618	312
664	618	311
665	619	310
666	619	309
667	620	308
668	620	307
669	621	305
670	621	304
671	622	303
672	622	302
673	623	301
674	624	300
675	625	299
676	625	298
677	626	297
678	627	296
679	627	295
680	628	294
681	628	293
682	629	292
683	629	291
684	630	290
685	631	288
686	631	287
687	632	286
688	632	285
689	633	284
690	633	283
691	634	282
692	634	281
693	635	280
694	635	279
695	636	277
696	637	276
697	637	276
698	638	275
699	639	273
700	639	272
701	640	271
702	641	270
703	641	269
704	642	268
705	642	267
706	643	266
707	644	265
708	644	264
709	644	263
710	645	262
711	645	261
712	646	260
713	646	259
714	647	258
715	647	256
716	648	255
717	649	254
718	649	253
719	650	252
720	650	251
721	651	250
722	651	249
723	652	248
724	653	247
725	653	246
726	654	245
727	655	244
728	655	243
729	656	242
730	657	241
731	657	240
732	658	239
733	658	238
734	659	237
735	659	236
736	660	235
737	660	234
738	661	233
739	661	232
740	662	231
741	662	230
742	663	229
743	663	228
744	664	227
745	664	226
746	665	225
747	666	224
748	666	223
749	667	222
750	668	221
751	668	220
752	669	219
753	670	218
754	670	217
755	671	216
756	672	215
757	672	214
758	673	213
759	674	212
760	674	211
761	675	210
762	675	209
763	676	208
764	676	207
765	677	206
766	677	205
767	678	204
768	678	203
769	679	202
770	679	201
771	680	200
772	680	199
773	681	198
774	681	197
775	682	197
776	683	196
777	684	195
778	684	194
779	685	193
780	686	192
781	686	191
782	687	190
783	688	189
784	688	188
785	689	187
786	690	186
787	690	185
788	691	184
789	691	183
790	692	182
791	693	182
792	693	181
793	694	180
794	695	179
795	696	178
796	696	177
797	697	176
798	697	175
799	698	174
800	699	173
801	700	172
802	700	171
803	701	171
804	702	170
805	702	169
806	703	168
807	704	167
808	704	166
809	705	165
810	705	164
811	706	163
812	707	162
813	707	161
814	708	160
815	708	159
816	709	158
817	710	157
818	710	157
819	711	156
820	712	155
821	712	154
822	713	153
823	714	152
824	715	151
825	715	150
826	716	149
827	717	149
828	718	148
829	718	147
830	719	146
831	719	145
832	720	144
833	721	143
834	721	142
835	722	141
836	723	140
837	723	139
838	724	139
839	725	138
840	725	137
841	726	136
842	726	135
843	727	134
844	727	133
845	728	132
846	729	131
847	730	130
848	730	129
849	731	129
850	732	128
851	732	127
852	733	126
853	734	125
854	734	124
855	735	123
856	735	122
857	736	121
858	737	120
859	737	120
860	738	119
861	739	118
862	739	117
863	740	116
864	741	115
865	741	114
866	743	114
867	744	113
868	745	112
869	746	111
870	746	110
871	747	109
872	748	108
873	748	107
874	749	107
875	750	106
876	750	105
877	751	104
878	751	103
879	752	102
880	752	101
881	753	100
882	754	99
883	754	99
884	755	98
885	756	97
886	756	96
887	757	95
888	758	94
889	759	93
890	759	92
891	760	92
892	762	91
893	762	90
894	763	89
895	763	88
896	764	87
897	765	86
898	765	86
899	766	85
900	766	84
901	767	83
902	768	82
903	768	81
904	769	80
905	770	79
906	771	79
907	771	78
908	772	77
909	772	76
910	773	75
911	775	74
912	776	73
913	776	73
914	777	72
915	778	71
916	778	70
917	779	69
918	780	68
919	780	67
920	781	67
921	782	66
922	782	65
923	783	64
924	784	63
925	784	62
926	785	61
927	785	60
928	786	60
929	787	59
930	787	58
931	788	57
932	789	56
933	790	55
934	791	55
935	791	54
936	792	53
937	793	52
938	793	51
939	794	50
940	795	49
941	795	48
942	796	48
943	797	47
944	797	46
945	798	45
946	798	44
947	799	43
948	800	42
949	801	42
950	801	41
951	802	40
952	803	39
953	804	38
954	804	37
955	805	37
956	806	36
957	806	35
958	807	34
959	808	33
960	808	32
961	809	31
962	810	31
963	811	30
964	811	29
965	812	28
966	812	27
967	813	26
968	814	26
969	815	25
970	815	24
971	816	23
972	816	22
973	817	21
974	818	20
975	819	20
976	819	19
977	820	18
978	820	17
979	821	16
980	822	15
981	822	15
982	823	14
983	823	13
984	824	12
985	825	11
986	825	10
987	826	10
988	826	9
989	827	8
990	828	7
991	828	6
992	829	5
993	829	5
994	830	4
995	830	3
996	831	2
997	832	1
998	833	0
999	833	0
